_is_concert,song_name_clean,stream_cnt,uniq_users,stream_cnt_ratio,uniq_users_ratio,stream_cnt_total,uniq_users_total,days_diff_song_concert,is_concert
FALSE,一點點,69563,22900,0.018798077,0.056888615,3700538,402541,166,0
FALSE,我夢見你夢見我,61531,17564,0.016627582,0.043632822,3700538,402541,166,0
FALSE,飛,39777,13895,0.010748978,0.034518223,3700538,402541,166,0
FALSE,天上的男人 地上的女人,41227,13693,0.011140812,0.034016411,3700538,402541,320,0
FALSE,壞與更壞,38538,13546,0.010414161,0.033651231,3700538,402541,166,0
FALSE,白晝之月,35448,13013,0.009579148,0.032327142,3700538,402541,166,0
FALSE,勿忘你,38705,12434,0.01045929,0.030888779,3700538,402541,166,0
FALSE,Still Open After 10 p.m.,15688,7184,0.004239384,0.017846629,3700538,402541,166,0
FALSE,"Off, Do Not Disturb.",15512,6634,0.004191823,0.016480309,3700538,402541,166,0
TRUE,口的形狀,8588,4480,0.002320744,0.011129301,3700538,402541,953,1
FALSE,我愛的人,12205,4133,0.003298169,0.010267277,3700538,402541,1244,0
FALSE,那首歌,6768,2720,0.001828923,0.006757076,3700538,402541,1244,0
FALSE,大象舞台,3698,2031,0.000999314,0.005045449,3700538,402541,922,0
FALSE,背影,3871,1823,0.001046064,0.004528731,3700538,402541,1244,0
FALSE,你是我的眼,947,421,0.000255909,0.001045856,3700538,402541,1244,0
FALSE,離開地球表面,630,370,0.000170246,0.000919161,3700538,402541,1244,0
FALSE,金粉世家,468,235,0.000126468,0.000583791,3700538,402541,1244,0
FALSE,彩虹,300081,5006,0.146439194,0.305150869,2049185,16405,36,0
TRUE,牛仔很忙,189458,4609,0.092455293,0.28095093,2049185,16405,50,1
TRUE,陽光宅男,198913,3016,0.097069323,0.183846388,2049185,16405,29,1
FALSE,我不配,194546,2193,0.094938232,0.133678756,2049185,16405,22,0
TRUE,不能說的秘密,60986,1946,0.0297611,0.118622371,2049185,16405,161,1
TRUE,最長的電影,143969,1893,0.070256712,0.115391649,2049185,16405,29,1
TRUE,無雙,96767,1434,0.047222188,0.087412374,2049185,16405,29,1
FALSE,青花瓷,89584,1106,0.043716892,0.06741847,2049185,16405,22,0
TRUE,蒲公英的約定,115990,1045,0.056602991,0.063700091,2049185,16405,22,1
TRUE,甜甜的,77374,768,0.037758426,0.046814995,2049185,16405,22,1
FALSE,扯,56203,629,0.027427001,0.038341969,2049185,16405,22,0
FALSE,珊瑚海,20847,499,0.010173313,0.030417556,2049185,16405,759,0
TRUE,髮如雪,10952,387,0.005344564,0.023590369,2049185,16405,760,1
FALSE,千里之外 - feat.費玉清,16932,368,0.008262797,0.022432185,2049185,16405,464,0
TRUE,退後,16170,334,0.007890942,0.020359646,2049185,16405,451,1
TRUE,菊花台,13718,319,0.006694369,0.019445291,2049185,16405,451,1
TRUE,聽媽媽的話,11265,315,0.005497307,0.019201463,2049185,16405,451,1
