_is_concert,song_name_clean,_stream_cnt_ratio,_uniq_users_ratio,_days_diff_song_concert,_stream_cnt,_uniq_users
1,嘻哈空姐,0.004280746,0.010896899,317,1061,754
1,蛇舞,0.003510131,0.008685724,898,870,601
0,喬克叔叔,0.002848451,0.007558459,909,706,523
0,流浪詩人,0.002674962,0.007081539,898,663,490
0,周大俠,0.002408676,0.005751944,1168,597,398
0,千里之外,0.002154494,0.005347284,1142,534,370
0,千山萬水,0.002134321,0.00531838,973,529,368
0,明明就,0.126943813,0.596145528,110,1194711,217766
0,傻笑,0.064171966,0.375353828,93,603944,137113
0,紅塵客棧,0.048544431,0.331917107,110,456868,121246
0,大笨鐘,0.051554205,0.325056804,97,485194,118740
0,愛你沒差,0.055908634,0.32252457,93,526175,117815
0,公公偏頭痛,0.034226487,0.249478497,93,322117,91132
0,烏克麗麗,0.025332214,0.155178078,93,238410,56685
0,手語,0.018880633,0.147638862,97,177692,53931
0,哪裡都是你,0.018232054,0.132976539,93,171588,48575
0,比較大的大提琴,0.014048163,0.129209669,97,132212,47199
0,Mine Mine,0.012988697,0.11706863,516,122241,42764
0,夢想啟動,0.016916194,0.11639793,93,159204,42519
0,四季列車,0.010845537,0.100030113,93,102071,36540
0,公主病,0.008542676,0.077218101,506,80398,28207
0,你好嗎,0.006903482,0.065703961,512,64971,24001
0,水手怕水,0.005860273,0.059872978,506,55153,21871
0,世界未末日,0.004316709,0.041476635,506,40626,15151
0,療傷燒肉粽,0.002465643,0.027167456,506,23205,9924
0,超跑女神,0.002867605,0.022636809,506,26988,8269
0,驚嘆號,0.002122971,0.022102987,523,19980,8074
0,迷魂曲,0.001526244,0.01569438,512,14364,5733
0,皮影戲,0.001216193,0.013920447,532,11446,5085
0,琴傷,0.001182297,0.013055381,506,11127,4769
0,說好的幸福呢/淘汰/青花瓷,0.001312035,0.010539571,678,12348,3850
0,淘汰,0.001312035,0.010539571,678,12348,3850
0,世界末日 [live版],0.000656124,0.006318268,1784,6175,2308
1,你是我的OK繃,0.000576751,0.005549016,678,5428,2027
1,想你就寫信,0.000481334,0.005349175,678,4530,1954
0,爸我回來了/心事誰人知,0.000437664,0.004445783,678,4119,1624
0,心事誰人知,0.000437664,0.004445783,678,4119,1624
0,算什麼男人,0.052828914,0.412992686,468,933470,257719
0,聽見下雨的聲音,0.047197403,0.373124283,461,833963,232840
0,聽爸爸的話,0.039904401,0.312365791,461,705098,194925
0,手寫的從前,0.032628208,0.267670681,461,576530,167034
0,英雄,0.008751262,0.119941733,7,154632,74847
0,怎麼了,0.008468065,0.083094028,461,149628,51853
0,天涯過客,0.005658167,0.053489587,461,99978,33379
0,鞋子特大號,0.004088472,0.043650285,480,72242,27239
0,美人魚,0.003546923,0.033229278,461,62673,20736
0,我要夏天,0.003137125,0.030633241,461,55432,19116
0,陽明山,0.002444753,0.028622113,461,43198,17861
0,一口氣全唸對,0.002385499,0.025570968,461,42151,15957
0,竊愛,0.001670658,0.020750671,461,29520,12949
0,波爺,0.000971042,0.012851987,1032,17158,8020
0,蝸牛,0.00120653,0.011076426,1047,21319,6912
0,你比從前快樂,0.000720556,0.006395546,1046,12732,3991
1,天台,0.000338093,0.004299487,994,5974,2683
0,天台的月光,0.000375785,0.003922901,994,6640,2448
1,打架舞,0.000253711,0.003818739,1032,4483,2383
1,快門慢舞,0.000214039,0.00299025,994,3782,1866
0,錢難賺,0.000163217,0.002780324,994,2884,1735
0,美術館,0.00025224,0.002331626,994,4457,1455
0,大明星,0.000125922,0.001539995,994,2225,961
0,狗仔舞,7.01E-05,0.001088092,994,1239,679
0,保齡男孩,5.41E-05,0.00108008,994,956,674
0,浪子膏,5.08E-05,0.0010288,994,897,642
