is_concert,uu.other,pc.other,avg.other,uu.core,pc.core,avg.core,r,u,a,_is_concert,_uu.other,_pc.other,_avg.other,_uu.core,_pc.core,_r,_u,_a
FALSE,18913,31808,1.681806165,5198,13630,2.62216237,19.24101436,19.20381026,0.037204099,FALSE,18913,31808,1.681806165,5198,13630,19.24101436,19.20381026,0.037204099
FALSE,17348,35336,2.036891861,6530,21454,3.285451761,19.20997505,19.16686603,0.043109022,FALSE,17348,35336,2.036891861,6530,21454,19.20997505,19.16686603,0.043109022
FALSE,16325,32568,1.994977029,7321,20612,2.815462369,19.15213999,19.12975629,0.022383699,FALSE,16325,32568,1.994977029,7321,20612,19.15213999,19.12975629,0.022383699
FALSE,16533,29435,1.780378637,6142,16815,2.737707587,19.00571439,18.97079225,0.034922148,FALSE,16533,29435,1.780378637,6142,16815,19.00571439,18.97079225,0.034922148
FALSE,17434,29534,1.694046117,5092,12747,2.50333857,18.97462095,18.9458587,0.028762248,FALSE,17434,29534,1.694046117,5092,12747,18.97462095,18.9458587,0.028762248
FALSE,16861,31531,1.870055157,3934,11253,2.860447382,18.67883888,18.64476928,0.034069609,FALSE,16861,31531,1.870055157,3934,11253,18.67883888,18.64476928,0.034069609
FALSE,15406,28708,1.863429833,5162,14010,2.714064316,18.63029498,18.60362578,0.026669206,FALSE,15406,28708,1.863429833,5162,14010,18.63029498,18.60362578,0.026669206
FALSE,13235,25983,1.963203627,5420,15680,2.89298893,18.2680444,18.2396921,0.028352304,FALSE,13235,25983,1.963203627,5420,15680,18.2680444,18.2396921,0.028352304
FALSE,12699,22252,1.752263958,5564,14849,2.66876348,18.19438007,18.16099693,0.033383148,FALSE,12699,22252,1.752263958,5564,14849,18.19438007,18.16099693,0.033383148
TRUE,11164,23016,2.061626657,6997,21592,3.085893955,18.17095635,18.14027148,0.030684871,TRUE,11164,23016,2.061626657,6997,21592,18.17095635,18.14027148,0.030684871
TRUE,11273,22848,2.026789674,5759,16475,2.860739712,17.92601,17.90360899,0.022401008,TRUE,11273,22848,2.026789674,5759,16475,17.92601,17.90360899,0.022401008
FALSE,12922,20927,1.619486148,3776,10192,2.699152542,17.88011262,17.83089511,0.049217508,FALSE,12922,20927,1.619486148,3776,10192,17.88011262,17.83089511,0.049217508
TRUE,11498,18932,1.646547226,4581,13181,2.877319363,17.75137956,17.69261507,0.058764488,TRUE,11498,18932,1.646547226,4581,13181,17.75137956,17.69261507,0.058764488
FALSE,12105,26949,2.226270136,4038,13804,3.418524022,17.7418245,17.70713142,0.034693076,FALSE,12105,26949,2.226270136,4038,13804,17.7418245,17.70713142,0.034693076
TRUE,10382,21567,2.077345406,5630,18485,3.28330373,17.71688502,17.67736265,0.039522373,TRUE,10382,21567,2.077345406,5630,18485,17.71688502,17.67736265,0.039522373
FALSE,11152,23526,2.109576758,4824,14707,3.04871476,17.69471854,17.66914366,0.025574874,FALSE,11152,23526,2.109576758,4824,14707,17.69471854,17.66914366,0.025574874
FALSE,12441,20670,1.661442006,3306,8432,2.550514217,17.65111866,17.6164696,0.034649053,FALSE,12441,20670,1.661442006,3306,8432,17.65111866,17.6164696,0.034649053
FALSE,10403,18979,1.824377583,5003,12769,2.552268639,17.55800768,17.53674664,0.021261039,FALSE,10403,18979,1.824377583,5003,12769,17.55800768,17.53674664,0.021261039
TRUE,9600,23258,2.422708333,5557,21808,3.924419651,17.52140664,17.47752715,0.043879486,TRUE,9600,23258,2.422708333,5557,21808,17.52140664,17.47752715,0.043879486
